zone_id,location,timestamp,latitude,longitude,temperature_c,rainfall_mm,humidity_pct,wind_speed_kmh,visibility_km,weather_category,weather_severity,traffic_impact,hour,is_daytime
zone_001,Esplanade Junction,2026-03-26 00:00:00+00:00,22.5726,88.3639,30.2,0.0,62.7,5.9,9.7,clear,0.0742,none,0,0
zone_001,Esplanade Junction,2026-03-26 00:01:00+00:00,22.5726,88.3639,29.9,0.0,63.6,6.2,10.0,clear,0.0685,none,0,0
zone_001,Esplanade Junction,2026-03-26 00:02:00+00:00,22.5726,88.3639,29.8,0.0,64.1,5.2,9.9,clear,0.0605,none,0,0
zone_001,Esplanade Junction,2026-03-26 00:03:00+00:00,22.5726,88.3639,29.0,0.0,64.6,5.2,9.0,clear,0.0875,none,0,0
zone_001,Esplanade Junction,2026-03-26 00:04:00+00:00,22.5726,88.3639,29.5,0.0,60.2,6.5,10.0,clear,0.0718,none,0,0
zone_001,Esplanade Junction,2026-03-26 00:05:00+00:00,22.5726,88.3639,29.3,0.0,63.2,5.2,9.6,clear,0.0695,none,0,0
zone_001,Esplanade Junction,2026-03-26 00:06:00+00:00,22.5726,88.3639,29.7,0.0,62.4,5.6,9.9,clear,0.0649,none,0,0
zone_001,Esplanade Junction,2026-03-26 00:07:00+00:00,22.5726,88.3639,29.5,0.0,62.5,6.1,10.0,clear,0.0674,none,0,0
zone_001,Esplanade Junction,2026-03-26 00:08:00+00:00,22.5726,88.3639,30.1,0.0,59.1,5.2,10.0,clear,0.0575,none,0,0
zone_001,Esplanade Junction,2026-03-26 00:09:00+00:00,22.5726,88.3639,30.1,0.0,61.0,5.3,9.2,clear,0.0826,none,0,0
zone_001,Esplanade Junction,2026-03-26 00:10:00+00:00,22.5726,88.3639,29.8,0.0,65.1,5.8,9.9,clear,0.0671,none,0,0
zone_001,Esplanade Junction,2026-03-26 00:11:00+00:00,22.5726,88.3639,29.8,0.0,64.2,6.3,10.0,clear,0.0696,none,0,0
zone_001,Esplanade Junction,2026-03-26 00:12:00+00:00,22.5726,88.3639,29.6,0.0,62.4,6.0,9.6,clear,0.0783,none,0,0
zone_001,Esplanade Junction,2026-03-26 00:13:00+00:00,22.5726,88.3639,29.9,0.0,65.4,6.0,9.3,clear,0.0873,none,0,0
zone_001,Esplanade Junction,2026-03-26 00:14:00+00:00,22.5726,88.3639,30.0,0.0,65.0,6.2,9.9,clear,0.0715,none,0,0
zone_001,Esplanade Junction,2026-03-26 00:15:00+00:00,22.5726,88.3639,30.8,0.0,69.7,5.6,9.1,clear,0.0889,none,0,0
zone_001,Esplanade Junction,2026-03-26 00:16:00+00:00,22.5726,88.3639,30.0,0.0,62.4,5.7,9.8,clear,0.069,none,0,0
zone_001,Esplanade Junction,2026-03-26 00:17:00+00:00,22.5726,88.3639,30.2,0.0,61.4,5.1,10.0,clear,0.0564,none,0,0
zone_001,Esplanade Junction,2026-03-26 00:18:00+00:00,22.5726,88.3639,29.6,0.0,62.0,6.7,10.0,clear,0.074,none,0,0
zone_001,Esplanade Junction,2026-03-26 00:19:00+00:00,22.5726,88.3639,30.2,0.0,65.7,7.3,9.8,clear,0.0867,none,0,0
zone_001,Esplanade Junction,2026-03-26 00:20:00+00:00,22.5726,88.3639,29.6,0.0,62.3,5.6,10.0,clear,0.0619,none,0,0
zone_001,Esplanade Junction,2026-03-26 00:21:00+00:00,22.5726,88.3639,30.1,1.4,63.0,5.1,8.9,clear,0.1497,moderate,0,0
zone_001,Esplanade Junction,2026-03-26 00:22:00+00:00,22.5726,88.3639,30.2,0.0,62.7,5.7,9.4,clear,0.081,none,0,0
zone_001,Esplanade Junction,2026-03-26 00:23:00+00:00,22.5726,88.3639,30.7,0.0,59.2,5.3,10.0,clear,0.0586,none,0,0
zone_001,Esplanade Junction,2026-03-26 00:24:00+00:00,22.5726,88.3639,30.1,0.0,62.1,5.1,10.0,clear,0.0564,none,0,0
zone_001,Esplanade Junction,2026-03-26 00:25:00+00:00,22.5726,88.3639,29.9,0.0,62.9,9.2,9.3,clear,0.1227,none,0,0
zone_001,Esplanade Junction,2026-03-26 00:26:00+00:00,22.5726,88.3639,30.4,0.0,60.7,5.3,9.6,clear,0.0706,none,0,0
zone_001,Esplanade Junction,2026-03-26 00:27:00+00:00,22.5726,88.3639,30.7,0.0,64.2,5.1,10.0,clear,0.0564,none,0,0
zone_001,Esplanade Junction,2026-03-26 00:28:00+00:00,22.5726,88.3639,29.8,0.0,64.8,5.0,10.0,clear,0.0552,none,0,0
