timestamp,total_vehicles,avg_speed_camera,congestion_camera,incident_count,active_tracks,flow_rate_veh_hr,sensor_flow_veh_hr,avg_speed_sensor,avg_occupancy,congestion_sensor,weather_severity,weather_category,temperature,wind_speed,avg_speed_gps,rainfall,humidity,congestion_index,congestion_level
2026-03-26 00:00:00+00:00,250,40.54,0.20581,1,250,15167.0,8469,32.38,51.83,0.44416,0.0742,clear,30.2,6.2,40.54,0.0,65.8,0.325,low
2026-03-26 00:01:00+00:00,276,42.62,0.24036999999999997,2,276,16611.6,8566,31.21,52.75,0.46016,0.0685,clear,29.9,8.7,42.62,0.0,65.3,0.3503,high
2026-03-26 00:02:00+00:00,262,42.42,0.21854,0,262,15577.3,8444,32.019999999999996,53.04,0.45372,0.0605,clear,29.8,5.1,42.42,0.0,64.7,0.3361,low
2026-03-26 00:03:00+00:00,262,41.510000000000005,0.21054,0,262,15901.4,8374,30.52,51.92,0.46272,0.0875,clear,29.0,6.2,41.510000000000005,0.0,68.0,0.3366,low
2026-03-26 00:04:00+00:00,260,42.3,0.21949999999999997,0,260,15776.6,8488,31.8,53.010000000000005,0.45571,0.0718,clear,29.5,5.7,42.3,0.0,67.2,0.3376,low
2026-03-26 00:05:00+00:00,262,42.07,0.22128,0,262,16059.0,8407,31.339999999999996,53.11,0.46068999999999993,0.0695,clear,29.3,5.2,42.07,0.0,64.3,0.341,medium
2026-03-26 00:06:00+00:00,271,41.64,0.229,1,271,16319.5,8543,31.669999999999998,53.489999999999995,0.45937,0.0649,clear,29.7,6.1,41.64,0.0,66.6,0.3442,medium
2026-03-26 00:07:00+00:00,270,42.760000000000005,0.22355,0,270,16239.9,8314,32.61,51.3,0.43929999999999997,0.0674,clear,29.5,6.6,42.760000000000005,0.0,68.1,0.3314,low
2026-03-26 00:08:00+00:00,268,42.07,0.22841,0,268,16169.9,8285,31.71,53.46,0.45884,0.0575,clear,30.1,5.2,42.07,0.0,67.2,0.3436,medium
2026-03-26 00:09:00+00:00,273,42.0,0.22296,0,273,16148.9,8330,31.05,52.57000000000001,0.46082,0.0826,clear,30.1,6.6,42.0,0.0,64.7,0.3419,medium
2026-03-26 00:10:00+00:00,276,42.06,0.23843,4,276,16602.3,8553,32.43,53.89,0.45399,0.0671,clear,29.8,5.1,42.06,2.0,65.8,0.3462,medium
2026-03-26 00:11:00+00:00,264,42.94,0.2184,0,264,15823.6,8500,30.77,53.339999999999996,0.46738999999999997,0.0696,clear,29.8,5.9,42.94,0.0,65.6,0.3429,medium
2026-03-26 00:12:00+00:00,268,43.23,0.21491000000000002,1,268,16056.1,8389,31.27,52.31,0.45738,0.0783,clear,29.6,6.6,43.23,0.0,66.3,0.3361,low
