timestamp,camera_id,location,latitude,longitude,cars,motorcycles,buses,trucks,total_vehicles,avg_speed_kmh,incident_flag,incident_count,confidence,congestion_index,active_tracks,flow_rate_veh_hr
2026-03-26T00:00:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,15,4,2,1,22,43.1,False,0,0.906,0.1799,22,1418.3
2026-03-26T00:01:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,16,4,2,2,24,46.6,False,0,0.914,0.1964,24,1428.1
2026-03-26T00:02:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,15,4,1,1,21,45.7,False,0,0.815,0.1741,21,1312.8
2026-03-26T00:03:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,15,4,1,1,21,41.4,False,0,0.795,0.1736,21,1264.2
2026-03-26T00:04:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,19,4,2,1,26,38.5,False,0,0.823,0.228,26,1529.9
2026-03-26T00:05:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,15,4,2,1,22,40.7,False,0,0.869,0.1634,22,1308.9
2026-03-26T00:06:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,14,6,1,1,22,35.7,False,0,0.842,0.1712,22,1243.9
2026-03-26T00:07:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,16,4,2,2,24,49.9,False,0,0.901,0.1941,24,1529.1
2026-03-26T00:08:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,19,4,2,2,27,41.5,False,0,0.829,0.237,27,1684.4
2026-03-26T00:09:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,15,5,2,2,24,46.7,False,0,0.878,0.1835,24,1452.3
2026-03-26T00:10:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,15,6,1,1,23,44.9,False,0,0.946,0.1894,23,1316.4
2026-03-26T00:11:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,17,3,1,1,22,41.3,False,0,0.806,0.1875,22,1231.0
2026-03-26T00:12:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,13,5,2,1,21,34.4,False,0,0.934,0.1724,21,1283.2
2026-03-26T00:13:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,17,5,2,1,25,40.5,False,0,0.936,0.2162,25,1515.0
2026-03-26T00:14:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,14,5,2,2,23,40.3,False,0,0.861,0.2167,23,1381.2
2026-03-26T00:15:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,18,5,2,2,27,37.1,False,0,0.887,0.2,27,1715.2
2026-03-26T00:16:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,19,6,1,2,28,43.1,False,0,0.782,0.2401,28,1742.9
2026-03-26T00:17:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,13,3,1,1,18,46.8,False,0,0.87,0.1259,18,1107.0
2026-03-26T00:18:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,18,5,2,2,27,44.6,False,0,0.832,0.2148,27,1475.3
2026-03-26T00:19:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,20,5,1,2,28,48.7,False,0,0.891,0.2133,28,1667.4
2026-03-26T00:20:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,13,4,1,2,20,45.6,False,0,0.814,0.1422,20,1219.6
2026-03-26T00:21:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,16,5,1,1,23,38.1,False,0,0.852,0.2385,23,1369.8
2026-03-26T00:22:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,16,3,1,1,21,41.7,False,0,0.905,0.1886,21,1273.1
2026-03-26T00:23:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,13,5,1,2,21,40.7,False,0,0.791,0.1591,21,1211.6
2026-03-26T00:24:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,10,5,1,2,18,45.0,True,1,0.78,0.1204,18,1101.2
2026-03-26T00:25:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,16,4,2,1,23,39.6,False,0,0.787,0.1901,23,1308.1
2026-03-26T00:26:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,16,5,1,2,24,40.6,False,0,0.8,0.2215,24,1426.2
2026-03-26T00:27:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,16,5,1,2,24,48.3,False,0,0.905,0.2049,24,1387.5
2026-03-26T00:28:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,15,5,2,2,24,43.4,False,0,0.817,0.2161,24,1430.8
2026-03-26T00:29:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,18,4,1,1,24,44.4,False,0,0.923,0.2301,24,1410.1
2026-03-26T00:30:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,18,3,2,1,24,42.5,False,0,0.924,0.1998,24,1493.8
2026-03-26T00:31:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,13,7,1,1,22,45.0,False,0,0.865,0.2101,22,1257.8
2026-03-26T00:32:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,12,4,2,2,20,41.4,False,0,0.906,0.1844,20,1189.8
2026-03-26T00:33:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,17,4,2,2,25,38.6,False,0,0.896,0.2173,25,1505.9
2026-03-26T00:34:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,15,3,1,1,20,43.5,False,0,0.863,0.1432,20,1195.7
2026-03-26T00:35:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,16,5,1,1,23,40.8,False,0,0.811,0.1741,23,1350.9
2026-03-26T00:36:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,12,4,2,1,19,49.6,False,0,0.944,0.1924,19,1103.5
2026-03-26T00:37:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,15,3,2,2,22,46.6,False,0,0.902,0.1778,22,1288.5
2026-03-26T00:38:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,15,4,2,1,22,39.7,False,0,0.845,0.1913,22,1296.9
2026-03-26T00:39:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,18,5,2,2,27,40.4,False,0,0.807,0.1881,27,1572.3
2026-03-26T00:40:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,17,3,2,2,24,42.3,False,0,0.818,0.2062,24,1400.8
2026-03-26T00:41:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,15,6,2,2,25,39.3,False,0,0.917,0.1832,25,1409.2
2026-03-26T00:42:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,12,6,2,1,21,43.2,False,0,0.927,0.138,21,1263.3
2026-03-26T00:43:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,18,5,1,2,26,37.9,False,0,0.837,0.1762,26,1629.7
2026-03-26T00:44:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,12,5,2,1,20,42.0,False,0,0.824,0.1232,20,1205.8
2026-03-26T00:45:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,14,5,2,2,23,39.1,False,0,0.876,0.2074,23,1316.0
2026-03-26T00:46:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,15,4,1,2,22,50.6,False,0,0.901,0.1937,22,1325.2
2026-03-26T00:47:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,16,5,2,2,25,43.2,False,0,0.936,0.2087,25,1432.4
2026-03-26T00:48:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,19,5,2,1,27,41.2,False,0,0.836,0.2261,27,1572.5
2026-03-26T00:49:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,18,4,1,2,25,40.7,True,1,0.91,0.1968,25,1546.6
2026-03-26T00:50:00+00:00,cam_009,Salt Lake Sector V,22.5646,88.4318,17,5,1,2,25,43.8,False,0,0.873,0.2103,25,1552.0
