timestamp,camera_id,location,latitude,longitude,cars,motorcycles,buses,trucks,total_vehicles,avg_speed_kmh,incident_flag,incident_count,confidence,congestion_index
2026-03-26T00:00:00+00:00,cam_002,Ultadanga Flyover,22.58,88.35,10,6,2,1,19,44.8,False,0,0.932,0.1576
2026-03-26T00:01:00+00:00,cam_002,Ultadanga Flyover,22.58,88.35,10,6,3,2,21,42.8,False,0,0.811,0.1617
2026-03-26T00:02:00+00:00,cam_002,Ultadanga Flyover,22.58,88.35,10,6,3,2,21,43.2,False,0,0.816,0.1752
2026-03-26T00:03:00+00:00,cam_002,Ultadanga Flyover,22.58,88.35,11,5,2,1,19,40.0,False,0,0.874,0.1702
2026-03-26T00:04:00+00:00,cam_002,Ultadanga Flyover,22.58,88.35,8,5,3,2,18,39.5,False,0,0.935,0.1587
2026-03-26T00:05:00+00:00,cam_002,Ultadanga Flyover,22.58,88.35,12,6,3,1,22,39.0,False,0,0.893,0.2062
2026-03-26T00:06:00+00:00,cam_002,Ultadanga Flyover,22.58,88.35,12,6,3,2,23,37.2,False,0,0.825,0.2026
2026-03-26T00:07:00+00:00,cam_002,Ultadanga Flyover,22.58,88.35,11,5,2,2,20,41.8,False,0,0.879,0.1571
2026-03-26T00:08:00+00:00,cam_002,Ultadanga Flyover,22.58,88.35,11,6,2,1,20,38.1,False,0,0.866,0.1808
2026-03-26T00:09:00+00:00,cam_002,Ultadanga Flyover,22.58,88.35,8,5,2,1,16,43.5,False,0,0.788,0.1396
2026-03-26T00:10:00+00:00,cam_002,Ultadanga Flyover,22.58,88.35,11,5,3,1,20,42.1,False,0,0.839,0.1607
2026-03-26T00:11:00+00:00,cam_002,Ultadanga Flyover,22.58,88.35,12,3,3,2,20,37.5,False,0,0.782,0.1794
2026-03-26T00:12:00+00:00,cam_002,Ultadanga Flyover,22.58,88.35,13,6,3,1,23,47.1,False,0,0.919,0.2064
2026-03-26T00:13:00+00:00,cam_002,Ultadanga Flyover,22.58,88.35,10,5,2,2,19,42.2,False,0,0.821,0.1722
2026-03-26T00:14:00+00:00,cam_002,Ultadanga Flyover,22.58,88.35,11,5,3,2,21,40.6,False,0,0.812,0.1747
2026-03-26T00:15:00+00:00,cam_002,Ultadanga Flyover,22.58,88.35,13,6,2,2,23,42.2,False,0,0.935,0.1829
2026-03-26T00:16:00+00:00,cam_002,Ultadanga Flyover,22.58,88.35,11,6,3,1,21,48.6,False,0,0.85,0.1628
2026-03-26T00:17:00+00:00,cam_002,Ultadanga Flyover,22.58,88.35,12,7,2,1,22,41.6,False,0,0.781,0.219
