camera_id,timestamp,latitude,longitude,cars,motorcycles,buses,trucks,total,avg_speed_kmh,incident_flag,confidence,hour,day_of_week,is_weekend,is_morning_peak,is_evening_peak,is_peak_hour,is_night,heavy_vehicle_ratio,congestion_index,congestion_level
cam_001,2026-03-26 00:00:00+00:00,22.5726,88.3639,7,0,0,0,7,40.4,False,0.931,0,3,0,0,0,0,1,0.0,0.2073,low
cam_001,2026-03-26 00:01:00+00:00,22.5726,88.3639,6,3,0,0,9,37.5,False,0.886,0,3,0,0,0,0,1,0.0,0.2453,low
cam_001,2026-03-26 00:02:00+00:00,22.5726,88.3639,5,4,0,0,9,39.1,False,0.846,0,3,0,0,0,0,1,0.0,0.2287,low
cam_001,2026-03-26 00:03:00+00:00,22.5726,88.3639,2,4,0,0,6,43.2,False,0.852,0,3,0,0,0,0,1,0.0,0.1743,low
cam_001,2026-03-26 00:04:00+00:00,22.5726,88.3639,6,3,0,0,9,37.3,False,0.858,0,3,0,0,0,0,1,0.0,0.2474,low
cam_001,2026-03-26 00:05:00+00:00,22.5726,88.3639,4,3,0,0,7,38.9,False,0.758,0,3,0,0,0,0,1,0.0,0.2229,low
cam_001,2026-03-26 00:06:00+00:00,22.5726,88.3639,6,3,0,0,9,41.0,False,0.758,0,3,0,0,0,0,1,0.0,0.209,low
cam_001,2026-03-26 00:07:00+00:00,22.5726,88.3639,2,1,0,0,3,44.1,False,0.863,0,3,0,0,0,0,1,0.0,0.1532,low
cam_001,2026-03-26 00:08:00+00:00,22.5726,88.3639,4,2,0,0,6,39.3,False,0.784,0,3,0,0,0,0,1,0.0,0.2149,low
cam_001,2026-03-26 00:09:00+00:00,22.5726,88.3639,2,5,0,0,7,40.5,False,0.852,0,3,0,0,0,0,1,0.0,0.2063,low
cam_001,2026-03-26 00:10:00+00:00,22.5726,88.3639,4,4,1,0,9,36.9,False,0.85,0,3,0,0,0,0,1,0.1111111111111111,0.2516,low
cam_001,2026-03-26 00:11:00+00:00,22.5726,88.3639,5,4,0,0,9,36.9,False,0.83,0,3,0,0,0,0,1,0.0,0.2516,low
cam_001,2026-03-26 00:12:00+00:00,22.5726,88.3639,4,2,0,0,6,40.7,False,0.894,0,3,0,0,0,0,1,0.0,0.2003,low
